date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:51:29	81/81	---M--	200	added ('OK')	text/plain	etag:%228282c78-51-5606014da7ee5%22	https://www.yogainindia.co.in/robots.txt		(from )
18:51:30	141970/141970	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2013:21:25%20GMT	https://www.yogainindia.co.in/	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/index.html	(from )
18:51:30	1175/1175	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Mar%202019%2013:21:26%20GMT	https://www.yogainindia.co.in/googleeb4e81db68cfe90f.html	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/googleeb4e81db68cfe90f.html	(from https://www.yogainindia.co.in/)
18:51:31	31012/31012	---M--	200	added ('OK')	text/css	etag:%2282a3351-7924-55bbcd68d49b4%22	https://www.yogainindia.co.in/assets/css/font-awesome.min.css	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/assets/css/font-awesome.min.css	(from https://www.yogainindia.co.in/)
18:51:32	186208/186208	---M--	200	added ('OK')	text/css	etag:%2282a334b-2d760-55bbcd68d22a4%22	https://www.yogainindia.co.in/assets/css/bootstrap.css	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/assets/css/bootstrap.css	(from https://www.yogainindia.co.in/)
18:51:32	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2282a0184-47e-55ea4cd494dcf%22	https://www.yogainindia.co.in/assets/img/favicon.ico	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/assets/img/favicon.ico	(from https://www.yogainindia.co.in/)
18:51:33	27955/27955	---M--	200	added ('OK')	text/css	etag:%2282a219e-6d33-5836b966729b0%22	https://www.yogainindia.co.in/assets/css/style.css?ver=1.5.8.3	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/assets/css/stylef1ac.css	(from https://www.yogainindia.co.in/)
18:51:33	154139/154139	---M--	200	added ('OK')	text/css	etag:%2282a334d-25a1b-55bbcd68d268c%22	https://www.yogainindia.co.in/assets/css/mdb.min.css?ver=1.2.0	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/assets/css/mdb.min7359.css	(from https://www.yogainindia.co.in/)
18:51:34	86709/86709	---M--	200	added ('OK')	application/javascript	etag:%2282a333d-152b5-55bbcd68cad74%22	https://www.yogainindia.co.in/assets/js/jquery-3.1.1.min.js	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/assets/js/jquery-3.1.1.min.js	(from https://www.yogainindia.co.in/)
18:51:34	25468/25468	---M--	200	added ('OK')	image/png	etag:%2282a1c18-637c-55bbcd654633d%22	https://www.yogainindia.co.in/admin/assets/user/images/logo.png	C:/Users/Shivam%20Sharma/Desktop/heyaa/Yoga/www.yogainindia.co.in/admin/assets/user/images/logo.png	(from https://www.yogainindia.co.in/)
